"","ID","PropertyDetails.PropertyAddress","PropertyDetails.PostalAddressForThisAssessment"
"41",305634,"1 Tui Street St Leonards","1 Tui Street Saint Leonards Dunedin 9022"
"42",305636,"50 St Leonards Drive St Leonards","PO Box 56 Dunedin 9054"
"43",305637,"14 Takahe Terrace St Leonards","Takahe Trust 14 Takahe Terrace Saint Leonards Dunedin 9022"
"44",305638,"16 Takahe Terrace St Leonards","16 Takahe Terrace Saint Leonards Dunedin 9022"
"45",305639,"10 Ruru Avenue St Leonards","10 Ruru Avenue Saint Leonards Dunedin 9022"
"46",305640,"11 Tui Street St Leonards","11 Tui Street Saint Leonards Dunedin 9022"
"47",305641,"9 Tui Street St Leonards","9 Tui Street Saint Leonards Dunedin 9022"
"48",305642,"8 Ruru Avenue St Leonards","8 Ruru Avenue Saint Leonards Dunedin 9022"
"49",305643,"7 Tui Street St Leonards","7 Tui Street Saint Leonards Dunedin 9022"
"50",305644,"17 Takahe Terrace St Leonards","17 Takahe Terrace Saint Leonards Dunedin 9022"
"51",305645,"15 Takahe Terrace St Leonards","Susie Staley Trust and Mark Wilesmith Family Trust 15 Takahe Terrace Saint Leonards Dunedin 9022"
"52",305646,"7 Takahe Terrace St Leonards","7 Takahe Terrace Saint Leonards Dunedin 9022"
"53",305647,"1 Takahe Terrace St Leonards","Davey Family Trust 1 Takahe Terrace Saint Leonards Dunedin 9022"
"54",305648,"5 Takahe Terrace St Leonards","5 Takahe Terrace Saint Leonards Dunedin 9022"
"55",305649,"4A Ruru Avenue St Leonards","B P Morris and D E Wolken Family Trust 4A Ruru Avenue Saint Leonards Dunedin 9022"
"56",305650,"4 Ruru Avenue St Leonards","4A Ruru Avenue Saint Leonards Dunedin 9022"
"57",305651,"12 Ruru Avenue St Leonards","12 Ruru Avenue Saint Leonards Dunedin 9022"
"58",305652,"17 Tui Street St Leonards","17 Tui Street Saint Leonards Dunedin 9022"
"59",305653,"14 Ruru Avenue St Leonards","14 Ruru Avenue Saint Leonards Dunedin 9022"
"60",305655,"5 Ruru Avenue St Leonards","5 Ruru Avenue Saint Leonards Dunedin 9022"
"61",305656,"11 Ruru Avenue St Leonards","11 Ruru Avenue Saint Leonards Dunedin 9022"
"62",305657,"21 Ruru Avenue St Leonards","21 Ruru Avenue Saint Leonards Dunedin 9022"
"63",305658,"42 St Leonards Drive St Leonards","42 St Leonards Drive Saint Leonards Dunedin 9022"
"64",305659,"9 Ruru Avenue St Leonards","PO Box 6225 Dunedin North Dunedin 9059"
"65",305660,"40 St Leonards Drive St Leonards","40 St Leonards Drive Saint Leonards Dunedin 9022"
"66",305661,"39 St Leonards Drive St Leonards","39 St Leonards Drive Saint Leonards Dunedin 9022"
"67",305662,"2 Robin Lane St Leonards","R D and K M Palmer Family Trust 17 Huia Street Saint Leonards Dunedin 9022"
"68",305663,"6 Robin Lane St Leonards","6 Robin Lane Saint Leonards Dunedin 9022"
"69",305664,"5 Robin Lane St Leonards","5 Robin Lane Saint Leonards Dunedin 9022"
"70",305665,"7 Robin Lane St Leonards","7 Robin Lane Saint Leonards Dunedin 9022"
"71",305666,"11 Robin Lane St Leonards",NA
"72",305668,"35 St Leonards Drive St Leonards","35 St Leonards Drive Saint Leonards Dunedin 9022"
"73",305669,"27 St Leonards Drive St Leonards","PO Box 5045 Moray Place Dunedin 9058"
"74",305670,"25 St Leonards Drive St Leonards","25 St Leonards Drive Saint Leonards Dunedin 9022"
"75",305672,"9 Pukeko Street St Leonards","9 Pukeko Street Saint Leonards Dunedin 9022"
"76",305673,"1 Pukeko Street St Leonards","C/O St Leonards Playcentre 1 Pukeko Street Saint Leonards Dunedin 9022"
"77",305674,"21 St Leonards Drive St Leonards","21 St Leonards Drive Saint Leonards Dunedin 9022"
"78",305675,"20 St Leonards Drive St Leonards","R A Hewitt Family Trust 20 St Leonards Drive St Leonards Dunedin 9022"
"79",305676,"6 Moa Street St Leonards","6 Moa Street Saint Leonards Dunedin 9022"
"80",305677,"14 Moa Street St Leonards","Lewis Family Trust 7 Brailleys Track Port Chalmers 9023"
"81",305678,"8 Moa Street St Leonards","B H and P M Whipp Family Trust 8 Moa Street Saint Leonards Dunedin 9022"
"82",305680,"65 Albany Street Dunedin","PO Box 56 Dunedin 9054"
"83",305681,"23 Kaka Road St Leonards","M A and J R G Smith Family Trust 23 Kaka Road Saint Leonards Dunedin 9022"
"84",305682,"25 Kaka Road St Leonards","25 Kaka Road Saint Leonards Dunedin 9022"
"85",305685,"18 St Leonards Drive St Leonards","18 St Leonards Drive Saint Leonards Dunedin 9022"
"86",305686,"17 St Leonards Drive St Leonards","17 St Leonards Drive Saint Leonards Dunedin 9022"
"87",305687,"16 St Leonards Drive St Leonards","16 St Leonards Drive Saint Leonards Dunedin 9022"
"88",305688,"15 St Leonards Drive St Leonards","15 St Leonards Drive Saint Leonards Dunedin 9022"
"89",305689,"14 St Leonards Drive St Leonards","14 St Leonards Drive Saint Leonards Dunedin 9022"
"90",305690,"2 Korimako Street St Leonards","2 Korimako Street Saint Leonards Dunedin 9022"
"91",305691,"6 Korimako Street St Leonards","6 Korimako Street Saint Leonards Dunedin 9022"
"92",305692,"10 Korimako Street St Leonards","10 Korimako Street Saint Leonards Dunedin 9022"
"93",305693,"14 Korimako Street St Leonards","14 Korimako Street Saint Leonards Dunedin 9022"
"94",305694,"11 Moa Street St Leonards","11 Moa Street Saint Leonards Dunedin 9022"
"95",305695,"10 Kaka Road St Leonards","29 Hart Street Dunedin 9011"
"96",305696,"9 Moa Street St Leonards","9 Moa Street Saint Leonards Dunedin 9022"
"97",305697,"5 Moa Street St Leonards","5 Moa Street Saint Leonards Dunedin 9022"
"98",305698,"1 Moa Street St Leonards","1 Moa Street Saint Leonards Dunedin 9022"
"99",305699,"37A Ruru Avenue St Leonards","25 Dalrymple Street Dunedin 9010"
"100",305700,"37 Ruru Avenue St Leonards","37 Ruru Avenue Saint Leonards Dunedin 9022"
"101",305701,"12 St Leonards Drive St Leonards","PO Box 6545 Dunedin North Dunedin 9059"
"102",305702,"10 St Leonards Drive St Leonards","S and A Cooper Family Trust 10 St Leonards Drive Saint Leonards Dunedin 9022"
"103",305703,"2 Kiwi Street St Leonards","2 Kiwi Street Saint Leonards Dunedin 9022"
"104",305704,"4 Kiwi Street St Leonards","4 Kiwi Street Saint Leonards Dunedin 9022"
"105",305705,"6 Kiwi Street St Leonards","6 Kiwi Street Saint Leonards Dunedin 9022"
"106",305706,"8 Kiwi Street St Leonards","8 Kiwi Street Saint Leonards Dunedin 9022"
"107",305707,"14 Kiwi Street St Leonards","W E and L S Dalziel Family Trust 1167 Athenaeum Road RD 1 Lawrence 9591"
"108",305708,"2 Kaka Road St Leonards","2 Kaka Road Saint Leonards Dunedin 9022"
"109",305709,"15 Korimako Street St Leonards","15 Korimako Street Saint Leonards Dunedin 9022"
"110",305710,"11 Korimako Street St Leonards","11 Korimako Street Saint Leonards Dunedin 9022"
"111",305711,"7 Korimako Street St Leonards","7 Korimako Street Saint Leonards Dunedin 9022"
"112",305712,"3 Korimako Street St Leonards","3 Korimako Street Saint Leonards Dunedin 9022"
"113",305713,"7 Kaka Road St Leonards",NA
"114",305714,"5 Kaka Road St Leonards","5 Kaka Road Saint Leonards Dunedin 9022"
"115",305715,"3 Kaka Road St Leonards","3 Kaka Road Saint Leonards Dunedin 9022"
"116",305716,"1 Kaka Road St Leonards","1 Kaka Road Saint Leonards Dunedin 9022"
"117",305717,"22 Kiwi Street St Leonards","22 Kiwi Street Saint Leonards Dunedin 9022"
"118",305718,"26 Kiwi Street St Leonards","26 Kiwi Street Saint Leonards Dunedin 9022"
"119",305719,"28 Kiwi Street St Leonards","9 Fairfax Street Dunedin 9010"
"120",305720,"21 Korimako Street St Leonards","36 Patrick Street Dunedin 9011"
"121",305721,"17 Korimako Street St Leonards","17 Korimako Street Saint Leonards Dunedin 9022"
"122",305722,"1 Kiwi Street St Leonards","1 Kiwi Street Saint Leonards Dunedin 9022"
"123",305723,"6 St Leonards Drive St Leonards","Carvell Family Trust 6 St Leonards Drive Saint Leonards Dunedin 9022"
"124",305724,"5 St Leonards Drive St Leonards","5 St Leonards Drive Saint Leonards Dunedin 9022"
"125",305725,"4 St Leonards Drive St Leonards",NA
"126",305726,"3 St Leonards Drive St Leonards","3 St Leonards Drive Saint Leonards Dunedin 9022"
"127",305727,"2 Huia Street St Leonards","2 Huia Street Saint Leonards Dunedin 9022"
"128",305728,"4 Huia Street St Leonards","4 Huia Street Saint Leonards Dunedin 9022"
"129",305729,"6 Huia Street St Leonards","6 Huia Street Saint Leonards Dunedin 9022"
"130",305732,"12 Huia Street St Leonards","N W and V Ensor Family Trust 12 Huia Street Saint Leonards Dunedin 9022"
"131",305733,"14 Huia Street St Leonards","14 Huia Street Saint Leonards Dunedin 9022"
"132",305734,"16 Huia Street St Leonards","16 Huia Street Saint Leonards Dunedin 9022"
"133",305735,"16A Huia Street St Leonards","16A Huia Street Saint Leonards Dunedin 9022"
"134",305736,"18 Huia Street St Leonards","Chelton Family Trust 47 Glen Atkinson Street St Heliers Auckland 1071"
"135",305737,"20 Huia Street St Leonards","20 Huia Street Saint Leonards Dunedin 9022"
"136",305738,"22 Huia Street St Leonards","22 Huia Street Saint Leonards Dunedin 9022"
"137",305739,"24 Huia Street St Leonards","24 Huia Street Saint Leonards Dunedin 9022"
"138",305740,"28 Huia Street St Leonards","28 Huia Street Saint Leonards Dunedin 9022"
"139",305741,"30 Huia Street St Leonards","32 Huia Street Saint Leonards Dunedin 9022"
"140",305742,"32 Huia Street St Leonards","32 Huia Street Saint Leonards Dunedin 9022"
"141",305743,"34 Huia Street St Leonards","34 Huia Street Saint Leonards Dunedin 9022"
"142",305744,"36 Huia Street St Leonards","36 Huia Street Saint Leonards Dunedin 9022"
"143",305745,"33 Kiwi Street St Leonards","33 Kiwi Street Saint Leonards Dunedin 9022"
"144",305746,"25 Kiwi Street St Leonards","PO Box 5923 Moray Place Dunedin 9058"
"145",305747,"21 Kiwi Street St Leonards","21 Kiwi Street Saint Leonards Dunedin 9022"
"146",305748,"19 Kiwi Street St Leonards","19 Kiwi Street Saint Leonards Dunedin 9022"
"147",305749,"17 Kiwi Street St Leonards","Y and M Endeavour New Zealand Trust 722 McPherson Road RD 2K Oamaru 9494"
"148",305750,"15 Kiwi Street St Leonards","15 Kiwi Street Saint Leonards Dunedin 9022"
"149",305751,"13 Kiwi Street St Leonards","13 Kiwi Street Saint Leonards Dunedin 9022"
"150",305752,"11 Kiwi Street St Leonards","11 Kiwi Street Saint Leonards Dunedin 9022"
"151",305754,"7 Kiwi Street St Leonards","7 Kiwi Street Saint Leonards Dunedin 9022"
"152",305755,"5 Kiwi Street St Leonards","5 Kiwi Street Saint Leonards Dunedin 9022"
"153",305756,"1 Huia Street St Leonards","1 Huia Street Saint Leonards Dunedin 9022"
"154",305757,"61 Burkes Drive Ravensbourne","151 Ravensbourne Road Ravensbourne Dunedin 9022"
"155",305758,"3 Gannet Lane St Leonards","McKeay Family Trust 3 Gannet Lane Saint Leonards Dunedin 9022"
"156",305759,"1 Gannet Lane St Leonards","1 Gannet Lane Saint Leonards Dunedin 9022"
"157",305760,"3 Huia Street St Leonards","3 Huia Street Saint Leonards Dunedin 9022"
"158",305761,"5 Huia Street St Leonards","M and J Hastie Family Trust 5 Huia Street Saint Leonards Dunedin 9022"
"159",305762,"5 Gannet Lane St Leonards","5 Gannet Lane Saint Leonards Dunedin 9022"
"160",305763,"6 Gannet Lane St Leonards","6 Gannet Lane Saint Leonards Dunedin 9022"
"161",305764,"4 Gannet Lane St Leonards","4 Gannet Lane Saint Leonards Dunedin 9022"
"162",305765,"7 Hawk Lane St Leonards","7 Hawk Lane Saint Leonards Dunedin 9022"
"163",305766,"9 Hawk Lane St Leonards","9 Hawk Lane Saint Leonards Dunedin 9022"
"164",305767,"11 Hawk Lane St Leonards","11 Hawk Lane Saint Leonards Dunedin 9022"
"165",305768,"2 Hawk Lane St Leonards","2 Hawk Lane Saint Leonards Dunedin 9022"
"166",305769,"8 Hawk Lane St Leonards","8 Hawk Lane Saint Leonards Dunedin 9022"
"167",305770,"10 Hawk Lane St Leonards","A M and H A Jaket Family Trust 10 Hawk Lane Saint Leonards Dunedin 9022"
"168",305772,"17 Huia Street St Leonards","17 Huia Street Saint Leonards Dunedin 9022"
"169",305777,"12 Harrier Road St Leonards","12 Harrier Road Saint Leonards Dunedin 9022"
"170",305778,"6 Kakapo Street St Leonards","6 Kakapo Street Saint Leonards Dunedin 9022"
"171",305779,"6 Kakapo Street St Leonards","6 Kakapo Street Saint Leonards Dunedin 9022"
"172",305780,"47 Harrier Road St Leonards","PO Box 5045 Moray Place Dunedin 9058"
"173",305781,"40 Burkes Drive Ravensbourne","33C Brandon Road Glen Eden Auckland 0602"
"174",305782,"8 Gannet Lane St Leonards","8 Gannet Lane Saint Leonards Dunedin 9022"
"175",305783,"8 Finch Street Dunedin","8 Finch Street Saint Leonards Dunedin 9022"
"176",305784,"10 Finch Street Dunedin","10 Finch Street Saint Leonards Dunedin 9022"
"177",305785,"16 Finch Street Dunedin","16 Finch Street Saint Leonards Dunedin 9022"
"178",305786,"18 Finch Street Dunedin","18 Finch Street Saint Leonards Dunedin 9022"
"179",305787,"14 Finch Street Dunedin","14 Finch Street Saint Leonards Dunedin 9022"
"180",305788,"29 Finch Street Dunedin","29 Finch Street Saint Leonards Dunedin 9022"
"181",305789,"15 Burkes Drive Ravensbourne","PO Box 5045 Moray Place Dunedin 9058"
"182",305790,"21 Burkes Drive Ravensbourne","PO Box 5045 Moray Place Dunedin 9058"
"183",305791,"1 Eagle Street Dunedin","1 Eagle Street Dunedin 9022"
"184",305792,"2 Kea Street Dunedin","Pullar Family Trust 2 Kea Street Saint Leonards Dunedin 9022"
"185",305793,"9 Eagle Street Dunedin","9 Eagle Street Dunedin 9022"
"186",305794,"4 Kea Street Dunedin","4 Kea Street Saint Leonards Dunedin 9022"
"187",305795,"15 Eagle Street Dunedin","D N Humphrey Family Trust 15 Eagle Street Dunedin 9022"
"188",305796,"18 Kea Street Dunedin","8 Hawk Lane Saint Leonards Dunedin 9022"
"189",305798,"2 Eagle Street Dunedin","9 Beaumont Street Oceanview Timaru 7910"
"190",305799,"1 Finch Street Dunedin","Logan Family Trust 1 Finch Street Saint Leonards Dunedin 9022"
"191",305800,"4 Eagle Street Dunedin","4 Eagle Street Dunedin 9022"
"192",305801,"6 Eagle Street Dunedin","PO Box 1100 Dunedin 9054"
"193",305802,"8 Eagle Street Dunedin","8 Eagle Street Dunedin 9022"
"194",305803,"10 Eagle Street Dunedin","10 Eagle Street Dunedin 9022"
"195",305804,"14 Eagle Street Dunedin","14 Eagle Street Dunedin 9022"
"196",305805,"19 Finch Street Dunedin","19 Finch Street Saint Leonards Dunedin 9022"
"197",305806,"17 Finch Street Dunedin","17 Finch Street Saint Leonards Dunedin 9022"
"198",305807,"15 Finch Street Dunedin","15 Finch Street Saint Leonards Dunedin 9022"
"199",305808,"9 Finch Street Dunedin","Glenavy Trust 9 Finch Street Saint Leonards Dunedin 9022"
"200",305809,"7 Finch Street Dunedin","1075 George Street Dunedin 9016"
"201",305810,"5 Finch Street Dunedin","5 Finch Street Saint Leonards Dunedin 9022"
"202",305811,"3 Finch Street Dunedin","Christine Alice Brien Trust 3 Finch Street St Leonards Dunedin 9022"
"203",305812,"4 Finch Street Dunedin",NA
"204",305813,"24 Burkes Drive Ravensbourne","24 Burkes Drive Ravensbourne Dunedin 9022"
"205",305814,"6 Finch Street Dunedin","44 Hinau Street Woburn Lower Hutt 5011"
"206",305817,"16 Burkes Drive Ravensbourne","16 Burkes Drive Ravensbourne Dunedin 9022"
"207",305818,"3 Kea Street Dunedin","3 Kea Street Saint Leonards Dunedin 9022"
"208",305819,"7 Kea Street Dunedin","7 Kea Street Saint Leonards Dunedin 9022"
"209",305820,"10 Burkes Drive Ravensbourne",NA
"210",305821,"8 Burkes Drive Ravensbourne","8 Burkes Drive Ravensbourne Dunedin 9022"
"211",305822,"4 Burkes Drive Ravensbourne","25 Ventry Street Alexandra 9320"
"212",305823,"19 Kea Street Dunedin","1 Seddon Street Ravensbourne Dunedin 9022"
"213",305824,"2 Burkes Drive Ravensbourne","2 Burkes Drive Ravensbourne Dunedin 9022"
"214",305825,"15 Kea Street Dunedin","1 Seddon Street Ravensbourne Dunedin 9022"
"215",305826,"11 Kea Street Dunedin","6 Argo Place Casebrook Christchurch 8051"
"216",305827,"351 Ravensbourne Road Ravensbourne","351 Ravensbourne Road Ravensbourne Dunedin 9022"
"217",305831,"349 Ravensbourne Road Ravensbourne","349 Ravensbourne Road Ravensbourne Dunedin 9022"
"218",305832,"347 Ravensbourne Road Ravensbourne","10 Carr Street Dunedin 9010"
"219",305833,"345 Ravensbourne Road Ravensbourne","345 Ravensbourne Road Ravensbourne Dunedin 9022"
"220",305834,"343 Ravensbourne Road Ravensbourne","65 Thirteenth Avenue Tauranga South Tauranga 3112"
"221",305835,"339 Ravensbourne Road Ravensbourne","339 Ravensbourne Road Ravensbourne Dunedin 9022"
"222",305838,"2 Babsie Road Ravensbourne","2 Babsie Road Ravensbourne Dunedin 9022"
"223",305839,"139 Manapouri Street Ravensbourne","139 Manapouri Street Maia Dunedin 9022"
"224",305841,"337 Ravensbourne Road Ravensbourne","337 Ravensbourne Road Ravensbourne Dunedin 9022"
"225",305842,"335 Ravensbourne Road Ravensbourne","335 Ravensbourne Road Maia Dunedin 9022"
"226",305843,"331 Ravensbourne Road Ravensbourne","PO Box 5704 Moray Place Dunedin 9058"
"227",305844,"329 Ravensbourne Road Ravensbourne","5 Northcroft Street Hoon Hay Christchurch 8025"
"228",305845,"8 Rotoiti Street Ravensbourne","8 Rotoiti Street Maia Dunedin 9022"
"229",305846,"6 Rotoiti Street Ravensbourne","28 Bay View Road Dunedin 9012"
"230",305847,"2 Jessie Street Ravensbourne","2 Jessie Street Ravensbourne Dunedin 9022"
"231",305848,"2 Rotoiti Street Ravensbourne","2 Rotoiti Street Maia Dunedin 9022"
"232",305849,"14 Rotoiti Street Ravensbourne","14 Rotoiti Street Maia Dunedin 9022"
"233",305850,"17 Rotoiti Street Ravensbourne","17 Rotoiti Street Maia Dunedin 9022"
"234",305852,"6 Jessie Street Ravensbourne","6 Jessie Street Ravensbourne Dunedin 9022"
"235",305854,"1 Rotoiti Street Ravensbourne",NA
"236",305855,"1 Jessie Street Ravensbourne","1 Jessie Street Ravensbourne Dunedin 9022"
"237",305856,"3 Jessie Street Ravensbourne","3 Jessie Street Ravensbourne Dunedin 9022"
"238",305857,"3A Jessie Street Ravensbourne","Nicholls Bates Family Trust 3A Jessie Street Ravensbourne Dunedin 9022"
"239",305858,"315 Ravensbourne Road Ravensbourne","315 Ravensbourne Road Ravensbourne Dunedin 9022"
"240",305859,"4 De Lacy Street Ravensbourne","4 De Lacy Street Maia Dunedin 9022"
"241",305860,"6 De Lacy Street Ravensbourne","PO Box 251498 Pakuranga Auckland 2140"
"242",305861,"8 De Lacy Street Ravensbourne","8 De Lacy Street Maia Dunedin 9022"
"243",305862,"5 Jessie Street Ravensbourne",NA
"244",305863,"12 De Lacy Street Ravensbourne","12 De Lacy Street Maia Dunedin 9022"
"245",305864,"14 De Lacy Street Ravensbourne","14 De Lacy Street Maia Dunedin 9022"
"246",305865,"16 De Lacy Street Ravensbourne","16 De Lacy Street Maia Dunedin 9022"
"247",305866,"18 De Lacy Street Ravensbourne","18 De Lacy Street Maia Dunedin 9022"
"248",305867,"20 De Lacy Street Ravensbourne",NA
"249",305868,"22 De Lacy Street Ravensbourne","22 De Lacy Street Maia Dunedin 9022"
"250",305869,"24 De Lacy Street Ravensbourne","2A Hyslop Street Abbotsford Dunedin 9018"
"251",305870,"100 Manapouri Street Ravensbourne","100 Manapouri Street Maia Dunedin 9022"
"252",305872,"108 Manapouri Street Ravensbourne","108 Manapouri Street Maia Dunedin 9022"
"253",305873,"25 Rotoiti Street Ravensbourne","25 Rotoiti Street Maia Dunedin 9022"
"254",305874,"12 Jessie Street Ravensbourne","12 Jessie Street Ravensbourne Dunedin 9022"
"255",305875,"23 Rotoiti Street Ravensbourne","23 Rotoiti Street Maia Dunedin 9022"
"256",305876,"106 Manapouri Street Ravensbourne","PO Box 1579 Aitkenvale QLD 4814 AUSTRALIA"
"257",305877,"8 Jessie Street Ravensbourne","8 Jessie Street Ravensbourne Dunedin 9022"
"258",305878,"110 Manapouri Street Ravensbourne","110 Manapouri Street Maia Dunedin 9022"
"259",305879,"10 Jessie Street Ravensbourne","10 Jessie Street Ravensbourne Dunedin 9022"
"260",305880,"28 Rotoiti Street Ravensbourne","28 Rotoiti Street Maia Dunedin 9022"
"261",305881,"110A Manapouri Street Ravensbourne","110A Manapouri Street Maia Dunedin 9022"
"262",305882,"112 Manapouri Street Ravensbourne","C/O M Stuart PO Box 1655 Dunedin 9054"
"263",305883,"114 Manapouri Street Ravensbourne","114 Manapouri Street Maia Dunedin 9022"
"264",305884,"118 Manapouri Street Ravensbourne","Blanchard Family Trust 118 Manapouri Street Maia Dunedin 9022"
"265",305885,"120 Manapouri Street Ravensbourne","122 Balmacewen Road Dunedin 9010"
"266",305886,"122 Manapouri Street Ravensbourne","PO Box 91765 Victoria Street West Auckland 1142"
"267",305887,"22 Rotoiti Street Ravensbourne","22 Rotoiti Street Maia Dunedin 9022"
"268",305888,"3 De Lacy Street Ravensbourne","3 De Lacy Street Maia Dunedin 9022"
"269",305889,"1 De Lacy Street Ravensbourne","1 De Lacy Street Maia Dunedin 9022"
"270",305890,"309 Ravensbourne Road Ravensbourne","Bosun and Bernie Family Trust 309 Ravensbourne Road Dunedin 9022"
"271",305891,"307 Ravensbourne Road Ravensbourne","PO Box 6227 Dunedin North Dunedin 9059"
"272",305892,"2 Ascog Road Ravensbourne","2 Ascog Road Ravensbourne Dunedin 9022"
"273",305894,"98 Manapouri Street Ravensbourne","98 Manapouri Street Maia Dunedin 9022"
"274",305895,"25 De Lacy Street Ravensbourne","25 De Lacy Street Maia Dunedin 9022"
"275",305896,"23 De Lacy Street Ravensbourne","23 De Lacy Street Maia Dunedin 9022"
"276",305897,"21 De Lacy Street Ravensbourne","21 De Lacy Street Maia Dunedin 9022"
"277",305898,"17 De Lacy Street Ravensbourne","13 De Lacy Street Maia Dunedin 9022"
"278",305899,"13 De Lacy Street Ravensbourne","13 De Lacy Street Maia Dunedin 9022"
"279",305900,"11 De Lacy Street Ravensbourne","11 De Lacy Street Maia Dunedin 9022"
"280",305902,"7 De Lacy Street Ravensbourne","Peter MacKenzie Family Trust 7 De Lacy Street Maia Dunedin 9022"
"281",305903,"5 De Lacy Street Ravensbourne","5 De Lacy Street Maia Dunedin 9022"
"282",305904,"1 Ascog Road Ravensbourne","1 Ascog Road Ravensbourne Dunedin 9022"
"283",305905,"305 Ravensbourne Road Ravensbourne","94B Victoria Road Dunedin 9012"
"284",305906,"303 Ravensbourne Road Ravensbourne","11 Lumsden Riversdale Highway RD 4 Lumsden 9794"
"285",305907,"301 Ravensbourne Road Ravensbourne","301 Ravensbourne Road Ravensbourne Dunedin 9022"
"286",305908,"297 Ravensbourne Road Ravensbourne","297 Ravensbourne Road Ravensbourne Dunedin 9022"
"287",305911,"291 Ravensbourne Road Ravensbourne","J L Porter Family Trust 294 Pine Hill Road Dunedin 9010"
"288",305912,"289 Ravensbourne Road Ravensbourne","8 Pomaria Road Henderson Auckland 0610"
"289",305913,"287 Ravensbourne Road Ravensbourne","287 Ravensbourne Road Ravensbourne Dunedin 9022"
"290",305914,"285 Ravensbourne Road Ravensbourne","3/126 Nottingham Road Parkinson QLD 4115 AUSTRALIA"
"291",305915,"2 Wakatipu Street Ravensbourne","2 Wakatipu Street Ravensbourne Dunedin 9022"
"292",305916,"4 Wakatipu Street Ravensbourne","PO Box 1001 Dunedin 9054"
"293",305917,"4A Wakatipu Street Ravensbourne","78 The Esplanade Raumati South Paraparaumu 5032"
