"","ID","PropertyDetails.PropertyAddress","PropertyDetails.PostalAddressForThisAssessment"
"111",317115,"50 Walter Street Dunedin","50 Walter Street Dunedin 9011"
"112",317122,"62 Walter Street Dunedin","62 Walter Street Dunedin 9011"
"113",317123,"22 South Road Dunedin","14 Kirkcaldy Street Dunedin 9012"
"114",317124,"24 South Road Dunedin","24 South Road Dunedin 9011"
"115",317125,"26 South Road Dunedin","26 South Road Dunedin 9011"
"116",317126,"28 South Road Dunedin","28 South Road Dunedin 9011"
"117",317127,"34 South Road Dunedin","20 Irwin Logan Drive Mosgiel 9024"
"118",317128,"36 South Road Dunedin","32A Arawa Street Dunedin 9013"
"119",317129,"8 Eglinton Road Dunedin","43 Greenwood Street Motueka 7120"
"120",317130,"10 Eglinton Road Dunedin","10 Eglinton Road Dunedin 9011"
"121",317131,"12 Eglinton Road Dunedin","12 Eglinton Road Dunedin 9011"
"122",317132,"16 Eglinton Road Dunedin","16 Eglinton Road Dunedin 9011"
"123",317133,"20 Eglinton Road Dunedin","Marvic Family Trust 20 Eglinton Road Dunedin 9011"
"124",317134,"19 Eglinton Road Dunedin","PO Box 2397 South Dunedin Dunedin 9044"
"125",317135,"17 Eglinton Road Dunedin","17 Eglinton Road Dunedin 9011"
"126",317136,"15 Eglinton Road Dunedin","28 Ropata Crescent Boulcott Lower Hutt 5010"
"127",317137,"11 Eglinton Road Dunedin","11 Eglinton Road Dunedin 9011"
"128",317138,"42 South Road Dunedin","42 South Road Dunedin 9011"
"129",317139,"44 South Road Dunedin","44 South Road Dunedin 9011"
"130",317140,"46 South Road Dunedin","46 South Road Dunedin 9011"
"131",317141,"48 South Road Dunedin","48 South Road Dunedin 9011"
"132",317142,"50 South Road Dunedin","PO Box 5053 Moray Place Dunedin 9058"
"133",317143,"52 South Road Dunedin","29 Ensors Road Christchurch 8023"
"134",317144,"54 South Road Dunedin","54 South Road Dunedin 9011"
"135",317145,"56 South Road Dunedin","56 South Road Dunedin 9011"
"136",317148,"72 South Road Dunedin","PO Box 6191 Dunedin North Dunedin 9059"
"137",317149,"76 South Road Dunedin","76 South Road Dunedin 9011"
"138",317150,"78 South Road Dunedin","48 Wylie Street Rotorua 3010"
"139",317151,"82 South Road Dunedin","82 South Road Dunedin 9011"
"140",317154,"92 South Road Dunedin","276 Otokia-Kuri Bush Road East RD 1 Brighton 9091"
"141",317155,"94 South Road Dunedin","361 Hardy Street Nelson 7010"
"142",317156,"96 South Road Dunedin","96 South Road Dunedin 9011"
"143",317157,"133 Glen Road Dunedin","133 Glen Road Dunedin 9011"
"144",317158,"131 Glen Road Dunedin","592 Waihola Highway RD 1 Milton 9291"
"145",317159,"129 Glen Road Dunedin","53 Park Road RD 2 Christchurch 7672"
"146",317160,"127 Glen Road Dunedin","127 Glen Road Dunedin 9011"
"147",317161,"125 Glen Road Dunedin","125 Glen Road Dunedin 9011"
"148",317162,"123 Glen Road Dunedin","44 Queenspark Drive Parklands Christchurch 8083"
"149",317163,"119 Glen Road Dunedin","119 Glen Road Dunedin 9011"
"150",317164,"117 Glen Road Dunedin","117 Glen Road Dunedin 9011"
"151",317165,"115 Glen Road Dunedin","115 Glen Road Dunedin 9011"
"152",317166,"113 Glen Road Dunedin","113 Glen Road Dunedin 9011"
"153",317167,"111 Glen Road Dunedin","111 Glen Road Dunedin 9011"
"154",317168,"109 Glen Road Dunedin","109 Glen Road Dunedin 9011"
"155",317169,"107 Glen Road Dunedin","107 Glen Road Dunedin 9011"
"156",317170,"15 Haywood Street Dunedin","5 McGeorge Avenue Dunedin 9011"
"157",317171,"19 Haywood Street Dunedin","39 Elgin Road Dunedin 9011"
"158",317172,"57 Walter Street Dunedin","57 Walter Street Dunedin 9011"
"159",317173,"55 Walter Street Dunedin","55 Walter Street Dunedin 9011"
"160",317174,"55A Walter Street Dunedin","55A Walter Street Dunedin 9011"
"161",317175,"53 Walter Street Dunedin","C/O Mana Property Management 243 Cumberland Street Dunedin 9016"
"162",317176,"51 Walter Street Dunedin","93 Argyle Street Mosgiel 9024"
"163",317177,"49 Walter Street Dunedin","49 Walter Street Dunedin 9011"
"164",317178,"47 Walter Street Dunedin","47 Walter Street Dunedin 9011"
"165",317179,"43 Walter Street Dunedin","43 Walter Street Dunedin 9011"
"166",317180,"41 Walter Street Dunedin","PO Box 9025 St Clair Dunedin 9047"
"167",317183,"35 Walter Street Dunedin","35 Walter Street Dunedin 9011"
"168",317184,"33 Walter Street Dunedin","22 Orokonui Road RD 2 Waitati 9085"
"169",317185,"31 Walter Street Dunedin","31 Walter Street Dunedin 9011"
"170",317187,"27 Walter Street Dunedin",NA
"171",317191,"19 Walter Street Dunedin","PO Box 6191 Dunedin North Dunedin 9059"
"172",317192,"17 Walter Street Dunedin","17 Walter Street Dunedin 9011"
"173",317193,"15 Walter Street Dunedin","31 Walter Street Dunedin 9011"
"174",317194,"9 Walter Street Dunedin","124 Centennial Avenue Dunedin 9010"
"175",317199,"27 Carson Street Dunedin","27 Carson Street Dunedin 9011"
"176",317200,"5 Osborne Terrace Dunedin","C/O Lynley McIntyre and Dusung Jeung 8 Tawa Road Te Atatu Peninsula Auckland 0610"
"177",317201,"31 Cooper Street Dunedin","31 Cooper Street Dunedin 9011"
"178",317202,"27 Cooper Street Dunedin","48 Adderley Terrace Ravensbourne Dunedin 9022"
"179",317203,"23 Cooper Street Dunedin","23 Cooper Street Dunedin 9011"
"180",317204,"25 Cooper Street Dunedin","PO Box 7085 Mornington Dunedin 9040"
"181",317205,"19 Cooper Street Dunedin","19 Cooper Street Dunedin 9011"
"182",317207,"7 Cooper Street Dunedin","7 Cooper Street Dunedin 9011"
"183",317208,"109 Neidpath Road Dunedin","109 Neidpath Road Dunedin 9011"
"184",317210,"103 Neidpath Road Dunedin","109 Centennial Avenue Dunedin 9010"
"185",317211,"101 Neidpath Road Dunedin","Wild Acres Trust 83 Dick Road RD 2 Dunedin 9077"
"186",317212,"93 Neidpath Road Dunedin","93 Neidpath Road Dunedin 9011"
"187",317213,"26 Glen Road Dunedin","26 Glen Road Dunedin 9011"
"188",317214,"30 Glen Road Dunedin","30 Glen Road Dunedin 9011"
"189",317215,"32 Glen Road Dunedin","32 Glen Road Dunedin 9011"
"190",317216,"34 Glen Road Dunedin","PO Box 5045 Moray Place Dunedin 9058"
"191",317217,"36 Glen Road Dunedin","36 Glen Road Dunedin 9011"
"192",317218,"38A Glen Road Dunedin","38A Glen Road Dunedin 9011"
"193",317219,"33B Cooper Street Dunedin","Auckland Central Regional Office PO Box 74598 Greenlane Auckland 1546"
"194",317220,"40 Glen Road Dunedin","11 Avoca Street Dunedin 9011"
"195",317221,"42 Glen Road Dunedin","42 Glen Road Dunedin 9011"
"196",317222,"46 Glen Road Dunedin","46 Glen Road Dunedin 9011"
"197",317223,"29 Carson Street Dunedin","29 Carson Street Dunedin 9011"
"198",317224,"50 Glen Road Dunedin","2 Laurie Street Dunedin 9011"
"199",317225,"52 Glen Road Dunedin","52 Glen Road Dunedin 9011"
"200",317226,"56 Glen Road Dunedin","56 Glen Road Dunedin 9011"
"201",317227,"58 Glen Road Dunedin","58 Glen Road Dunedin 9011"
"202",317228,"60 Glen Road Dunedin","At Thai Family Trust PO Box 853 Queenstown 9348"
"203",317229,"4 Avoca Street Dunedin","4 Avoca Street Dunedin 9011"
"204",317230,"14 Carson Street Dunedin","14 Carson Street Dunedin 9011"
"205",317231,"24 Carson Street Dunedin","24 Carson Street Dunedin 9011"
"206",317232,"11 Kevin Street Dunedin","11 Kevin Street Dunedin 9011"
"207",317233,"26 Carson Street Dunedin","26 Carson Street Dunedin 9011"
"208",317234,"28 Carson Street Dunedin","C/O Mark Cameron PO Box 6099 Dunedin North Dunedin 9059"
"209",317235,"32 Carson Street Dunedin","32 Carson Street Dunedin 9011"
"210",317236,"100 Neidpath Road Dunedin","100 Neidpath Road Dunedin 9011"
"211",317237,"104 Neidpath Road Dunedin","PO Box 65 Te Anau 9640"
"212",317238,"106 Neidpath Road Dunedin","15 Belmont Lane Dunedin 9013"
"213",317239,"81 Glenpark Avenue Dunedin","34 Gresham Street Dunedin 9013"
"214",317240,"71 Glenpark Avenue Dunedin","71 Glenpark Avenue Dunedin 9011"
"215",317241,"69 Glenpark Avenue Dunedin","69 Glenpark Avenue Dunedin 9011"
"216",317242,"2 Glen Road Dunedin","2 Glen Road Dunedin 9011"
"217",317243,"4 Glen Road Dunedin",NA
"218",317244,"6 Glen Road Dunedin","6 Glen Road Dunedin 9011"
"219",317245,"10 Glen Road Dunedin","10 Glen Road Dunedin 9011"
"220",317246,"12 Glen Road Dunedin","Bowmar Road RD 4 Gore 9774"
"221",317247,"91 Glenpark Avenue Dunedin","91 Glenpark Avenue Dunedin 9011"
"222",317248,"6 Cooper Street Dunedin","6 Cooper Street Dunedin 9011"
"223",317249,"4 Cooper Street Dunedin","Auckland Central Regional Office PO Box 74598 Greenlane Auckland 1546"
"224",317250,"2 Rutland Street Dunedin","2 Rutland Street Dunedin 9011"
"225",317251,"4 Rutland Street Dunedin","4 Rutland Street Dunedin 9011"
"226",317252,"6 Rutland Street Dunedin","7 Pollock Street Dunedin 9010"
"227",317253,"8 Rutland Street Dunedin","8 Rutland Street Dunedin 9011"
"228",317254,"7 Byron Street Dunedin","7 Byron Street Dunedin 9011"
"229",317255,"3 Byron Street Dunedin","3 Byron Street Dunedin 9011"
"230",317256,"99 Glenpark Avenue Dunedin","Rachel Christie Family Trust 99 Glenpark Avenue Dunedin 9011"
"231",317257,"95 Glenpark Avenue Dunedin","95 Glenpark Avenue Dunedin 9011"
"232",317258,"93 Glenpark Avenue Dunedin","PO Box 37300 Halswell Christchurch 8245"
"233",317259,"20A Cooper Street Dunedin","20A Cooper Street Dunedin 9011"
"234",317260,"20B Cooper Street Dunedin","20B Cooper Street Dunedin 9011"
"235",317261,NA,NA
"236",317262,"24 Cooper Street Dunedin",NA
"237",317263,"26 Cooper Street Dunedin","PO Box 5045 Moray Place Dunedin 9058"
"238",317264,"28 Cooper Street Dunedin","PO Box 5045 Moray Place Dunedin 9058"
"239",317265,"32 Cooper Street Dunedin","32 Cooper Street Dunedin 9011"
"240",317266,"36 Cooper Street Dunedin","36 Cooper Street Dunedin 9011"
"241",317267,"35 Carson Street Dunedin","35 Carson Street Dunedin 9011"
"242",317268,"39 Carson Street Dunedin","39 Carson Street Dunedin 9011"
"243",317269,"33 Byron Street Dunedin","33 Byron Street Dunedin 9011"
"244",317270,"31 Byron Street Dunedin","31 Byron Street Dunedin 9011"
"245",317271,"29 Byron Street Dunedin","29 Byron Street Dunedin 9011"
"246",317272,"27 Byron Street Dunedin","27 Byron Street Dunedin 9011"
"247",317273,"25 Byron Street Dunedin","25 Byron Street Dunedin 9011"
"248",317274,"23 Byron Street Dunedin","23 Byron Street Dunedin 9011"
"249",317275,"11 Rutland Street Dunedin","11 Rutland Street Dunedin 9011"
"250",317276,"9 Rutland Street Dunedin","9 Rutland Street Dunedin 9011"
"251",317277,"7 Rutland Street Dunedin","14A Farley Street Dunedin 9010"
"252",317278,"3 Rutland Street Dunedin","3 Rutland Street Dunedin 9011"
"253",317279,NA,NA
"254",317280,"10 Carson Street Dunedin","13 Ferry Lane RD 3 Cromwell 9383"
"255",317282,"10 Avoca Street Dunedin","10 Avoca Street Dunedin 9011"
"256",317284,"35 Appold Street Dunedin","PO Box 1513 Dunedin 9054"
"257",317285,"33 Appold Street Dunedin","16 Cross Street Dunedin 9011"
"258",317286,"16 Cross Street Dunedin","16 Cross Street Dunedin 9011"
"259",317287,"31 Appold Street Dunedin","29 Musselburgh Rise Dunedin 9013"
"260",317288,"17 Cross Street Dunedin","17 Cross Street Dunedin 9011"
"261",317289,"19 Cross Street Dunedin","19 Cross Street Dunedin 9011"
"262",317290,"15 Cross Street Dunedin","15 Cross Street Dunedin 9011"
"263",317291,"21 Appold Street Dunedin","73 Gilkison Street Dunedin 9010"
"264",317292,"19 Appold Street Dunedin","19 Appold Street Dunedin 9011"
"265",317293,"17 Appold Street Dunedin","17 Appold Street Dunedin 9011"
"266",317294,"15 Appold Street Dunedin","D L Smith and S K Gardner Family Trust 15 Appold Street Dunedin 9011"
"267",317295,"11 Appold Street Dunedin","50 Sevenoaks Drive Bryndwr Christchurch 8053"
"268",317296,"9 Appold Street Dunedin","Andrew Keene Family Trust 129 Maungakawa Road RD 4 Cambridge 3496"
"269",317297,"7 Appold Street Dunedin","7 Appold Street Dunedin 9011"
"270",317298,"50 Carson Street Dunedin","213 Howards Road Nullagine WA 6758 AUSTRALIA"
"271",317299,"44 Carson Street Dunedin","44 Carson Street Dunedin 9011"
"272",317300,NA,NA
"273",317301,"2 Kevin Street Dunedin","2 Kevin Street Dunedin 9011"
"274",317302,"6A Kevin Street Dunedin",NA
"275",317303,"8 Kevin Street Dunedin","8 Kevin Street Dunedin 9011"
"276",317304,"11 Cross Street Dunedin","43 Mount Cook Road Fairlie 7925"
"277",317305,"14 Cross Street Dunedin","14 Cross Street Dunedin 9011"
"278",317306,"12 Cross Street Dunedin","Watt Family Trust 12 Cross Street Dunedin 9011"
"279",317307,"18 Kevin Street Dunedin","18 Kevin Street Dunedin 9011"
"280",317308,"96 Leckhampton Court Dunedin","96 Leckhampton Court Dunedin 9011"
"281",317309,"15 Reynolds Street Dunedin","15 Reynolds Street Dunedin 9011"
"282",317310,"111 Leckhampton Court Dunedin","111 Leckhampton Court Dunedin 9011"
"283",317311,"23 Reynolds Street Dunedin",NA
"284",317312,"113 Maryhill Terrace Dunedin","73 Elm Row Dunedin 9016"
"285",317313,"115 Maryhill Terrace Dunedin","30 Tirohanga Road RD 2 Mosgiel 9092"
"286",317314,"21 Reynolds Street Dunedin","21 Reynolds Street Dunedin 9011"
"287",317315,"19 Reynolds Street Dunedin","19 Reynolds Street Dunedin 9011"
"288",317316,"17 Reynolds Street Dunedin",NA
"289",317317,"125 Maryhill Terrace Dunedin","125 Maryhill Terrace Dunedin 9011"
"290",317318,"123 Maryhill Terrace Dunedin","123 Maryhill Terrace Dunedin 9011"
"291",317319,"121 Maryhill Terrace Dunedin",NA
"292",317320,"101 Maryhill Terrace Dunedin","101 Maryhill Terrace Dunedin 9011"
"293",317321,"95 Maryhill Terrace Dunedin","95 Maryhill Terrace Dunedin 9011"
"294",317322,"93 Maryhill Terrace Dunedin","93 Maryhill Terrace Dunedin 9011"
"295",317323,"91 Maryhill Terrace Dunedin","91 Maryhill Terrace Dunedin 9011"
"296",317324,"89 Maryhill Terrace Dunedin","89 Maryhill Terrace Dunedin 9011"
"297",317325,"87 Maryhill Terrace Dunedin","87 Maryhill Terrace Dunedin 9011"
"298",317326,"83 Maryhill Terrace Dunedin","90 Glenross Street Dunedin 9011"
"299",317327,"3 Vickery Place Dunedin","3 Vickery Place Dunedin 9011"
"300",317328,"5 Vickery Place Dunedin","5 Vickery Place Dunedin 9011"
"301",317329,"12 Appold Street Dunedin","12 Appold Street Dunedin 9011"
"302",317330,"14 Appold Street Dunedin","Unit 21 13 Plantation Road Wanaka 9305"
"303",317332,"20 Appold Street Dunedin","20 Appold Street Dunedin 9011"
"304",317333,"6 Vickery Place Dunedin","C/O G &ampA Hall 15 Kilgour Street Dunedin 9010"
"305",317334,"2 Vickery Place Dunedin","2 Vickery Place Dunedin 9011"
"306",317335,"81A Maryhill Terrace Dunedin","200 Larnach Road Dunedin 9013"
"307",317336,"81B Maryhill Terrace Dunedin","81B Maryhill Terrace Dunedin 9011"
"308",317337,"77 Maryhill Terrace Dunedin","18A Pembroke Crescent Glendowie Auckland 1071"
"309",317338,"75 Maryhill Terrace Dunedin","25 Elliffe Place Dunedin 9013"
"310",317339,"LOT B Maryhill Terrace Dunedin","Gone No Address"
"311",317340,"73 Maryhill Terrace Dunedin","73 Maryhill Terrace Dunedin 9011"
"312",317341,"71 Maryhill Terrace Dunedin","71 Maryhill Terrace Dunedin 9011"
"313",317342,"69 Maryhill Terrace Dunedin",NA
"314",317343,"67 Maryhill Terrace Dunedin","67 Maryhill Terrace Dunedin 9011"
"315",317344,"67A Maryhill Terrace Dunedin","67A Maryhill Terrace Dunedin 9011"
"316",317345,"62 Carson Street Dunedin","123 Chelmsford Street Windsor Invercargill 9810"
"317",317346,"60 Carson Street Dunedin","60 Carson Street Dunedin 9011"
"318",317347,"2 Appold Street Dunedin","2 Appold Street Dunedin 9011"
"319",317348,"4 Appold Street Dunedin","4 Appold Street Dunedin 9011"
"320",317349,"75 Carson Street Dunedin","Mollart-Ray Family Trust 75 Carson Street Dunedin 9011"
"321",317350,"77 Carson Street Dunedin","77 Carson Street Dunedin 9011"
"322",317351,"81 Carson Street Dunedin","90 Victoria Street Coffs Harbour NSW 2450 AUSTRALIA"
"323",317352,"109 Glenpark Avenue Dunedin","109 Glenpark Avenue Dunedin 9011"
"324",317353,"115 Glenpark Avenue Dunedin","115 Glenpark Avenue Dunedin 9011"
"325",317354,"2 Byron Street Dunedin","5 Matisse Place Burnside Christchurch 8053"
"326",317355,"4 Byron Street Dunedin","PO Box 5138 Moray Place Dunedin 9058"
"327",317356,"12 Byron Street Dunedin","12 Byron Street Dunedin 9011"
"328",317357,"14 Byron Street Dunedin","14 Byron Street Dunedin 9011"
"329",317358,"14A Byron Street Dunedin","14A Byron Street Dunedin 9011"
"330",317359,"73 Carson Street Dunedin","Richard Munro and Rhonda Munro Family Trusts 23/11 Innovation Parkway Birtinya;QLD 4575 AUSTRALIA"
"331",317360,"71 Carson Street Dunedin","71 Carson Street Dunedin 9011"
"332",317361,"69 Carson Street Dunedin","1100 Logan Road Brisbane QLD 4121 AUSTRALIA"
"333",317362,"16 Byron Street Dunedin","16 Byron Street Dunedin 9011"
"334",317363,"18 Byron Street Dunedin","18 Byron Street Dunedin 9011"
"335",317364,"20 Byron Street Dunedin","20 Byron Street Dunedin 9011"
"336",317365,"22 Byron Street Dunedin","22 Byron Street Dunedin 9011"
"337",317366,"117 Glenpark Avenue Dunedin","Dunlop Family Trust PO Box 734 Wanaka 9343"
"338",317367,"78 Carson Street Dunedin",NA
"339",317368,"76 Carson Street Dunedin","C/O Mrs M A Dawson - Unit 31 31 Eastbourne Street Dunedin 9012"
"340",317369,"65 Maryhill Terrace Dunedin","65 Maryhill Terrace Dunedin 9011"
"341",317370,"63 Maryhill Terrace Dunedin","43A Bedford Parade Brighton Dunedin 9035"
"342",317371,"61 Maryhill Terrace Dunedin","61 Maryhill Terrace Dunedin 9011"
"343",317372,"59 Maryhill Terrace Dunedin","T J McVicker Family Trust 59 Maryhill Terrace Dunedin 9011"
"344",317373,"123 Glenpark Avenue Dunedin","123 Glenpark Avenue Dunedin 9011"
"345",317374,"132 Glen Road Dunedin","PO Box 5045 Moray Place Dunedin 9058"
"346",317375,"106 South Road Dunedin","104 South Road Dunedin 9011"
"347",317376,"110 South Road Dunedin","104 South Road Dunedin 9011"
